data:text/csv;charset=utf-8,Id,metric_alias_widget_823_0,metric_alias_widget_823_1
StatusCode,Complete,Complete,
Messages,,,
Full label,eu-north-1:AWS/SQS QueueName:subPopQueue ApproximateAgeOfOldestMessage Average 300,eu-north-1:AWS/Lambda FunctionName:awsCrayfish Invocations Average 300,
Label,ApproximateAgeOfOldestMessage,Invocations,
2024/08/02 12:30:00,0,,
2024/08/02 12:35:00,0,,
2024/08/02 12:40:00,0,,
2024/08/02 12:45:00,0,1,
2024/08/02 12:50:00,0.4,1,
2024/08/02 12:55:00,0,,
2024/08/02 13:00:00,0,,
2024/08/02 13:05:00,0,,
2024/08/02 13:10:00,0,,
