@timestamp,requestId,functionArn,executionTime
2024-08-06 09:19:15.518,,,
2024-08-06 09:19:15.526,,,
2024-08-06 09:19:15.527,,,
2024-08-06 09:19:15.527,,,
2024-08-06 09:19:15.593,,,
2024-08-06 09:19:15.697,,,
2024-08-06 09:19:15.698,,,
2024-08-06 09:19:15.699,,,
2024-08-06 09:19:15.706,,,
2024-08-06 09:19:15.706,,,
2024-08-06 09:19:15.719,,,
2024-08-06 09:19:15.720,,,
2024-08-06 09:19:15.730,,,
2024-08-06 09:19:15.730,,,
2024-08-06 09:19:15.738,,,
2024-08-06 09:19:15.740,,,
2024-08-06 09:19:15.746,,,
2024-08-06 09:19:15.746,,,
2024-08-06 09:19:15.751,,,
2024-08-06 09:19:15.752,,,
2024-08-06 09:19:15.762,,,
2024-08-06 09:19:15.762,,,
2024-08-06 09:19:15.779,,,
2024-08-06 09:19:15.780,,,
2024-08-06 09:19:15.787,,,
2024-08-06 09:19:15.787,,,
2024-08-06 09:19:15.917,,,
2024-08-06 09:19:15.919,,,
2024-08-06 09:19:15.934,,,
2024-08-06 09:19:15.934,,,
2024-08-06 09:19:16.917,,,
2024-08-06 09:19:16.917,0d45c816-42d5-56f9-b672-973dae18fc80,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.209702138s
2024-08-06 09:19:16.918,,,
2024-08-06 09:19:16.919,,,
2024-08-06 09:19:16.932,,,
2024-08-06 09:19:16.932,22f37a76-7935-569a-a396-255d95f889cb,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.176892204s
2024-08-06 09:19:16.932,,,
2024-08-06 09:19:16.934,,,
2024-08-06 09:19:17.057,,,
2024-08-06 09:19:17.670,,,
2024-08-06 09:19:17.677,,,
2024-08-06 09:19:17.677,60935afa-9083-56c5-a3bf-05d17c4e2e77,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.880575209s
2024-08-06 09:19:17.679,,,
2024-08-06 09:19:17.722,,,
2024-08-06 09:19:17.733,,,
2024-08-06 09:19:17.733,09790473-ff04-5242-a399-5b5813c9b1ad,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.993198011s
2024-08-06 09:19:17.736,,,
2024-08-06 09:19:18.086,,,
2024-08-06 09:19:18.115,,,
2024-08-06 09:19:18.124,,,
2024-08-06 09:19:18.124,ed64b483-4fda-5e98-b7fc-eba8a3169c4d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.356821968s
2024-08-06 09:19:18.127,,,
2024-08-06 09:19:18.133,,,
2024-08-06 09:19:18.133,201fb417-8cb8-50cf-9fe0-eb3c606c7ab6,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.073559937s
2024-08-06 09:19:18.134,,,
2024-08-06 09:19:18.143,,,
2024-08-06 09:19:18.162,,,
2024-08-06 09:19:18.164,,,
2024-08-06 09:19:18.170,,,
2024-08-06 09:19:18.170,1bef734b-72ce-5783-8919-2c609e1dedfa,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.23215258s
2024-08-06 09:19:18.172,,,
2024-08-06 09:19:18.212,,,
2024-08-06 09:19:18.667,,,
2024-08-06 09:19:19.072,,,
2024-08-06 09:19:19.072,bf29068d-ba2c-5af0-af2d-59a656fa5242,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,955.200511ms
2024-08-06 09:19:19.073,,,
2024-08-06 09:19:20.276,,,
2024-08-06 09:19:20.276,3b60d84f-9e5a-566e-99a8-8764728cd93f,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.128667691s
2024-08-06 09:19:20.277,,,
2024-08-06 09:19:20.320,,,
2024-08-06 09:19:20.320,487fccfe-0593-560a-aa2c-93d5e94505e5,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.149167155s
2024-08-06 09:19:20.321,,,
2024-08-06 09:19:20.383,,,
2024-08-06 09:19:20.383,88bf5b92-971d-523f-93cf-04b97bcb1846,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.16689406s
2024-08-06 09:19:20.384,,,
2024-08-06 09:19:20.522,,,
