bin(10s),avg(@duration),max(@duration),min(@duration),"pct(@duration, 99)",count(@duration)
2024-08-06 09:22:30.000,1257.1754,2251.886,915.853,2251.886,17
2024-08-06 09:22:10.000,1266.0124,2316.363,916.391,2316.363,17
2024-08-06 09:21:50.000,1203.8963,2168.827,929.516,2168.827,18
2024-08-06 09:21:30.000,1136.6979,2266.977,896.2,2266.977,19
2024-08-06 09:21:00.000,1147.3984,2256.833,884.883,2256.833,18
2024-08-06 09:20:50.000,916.694,916.694,916.694,916.694,1
2024-08-06 09:20:40.000,1294.0407,2152.759,933.425,2152.759,16
2024-08-06 09:20:20.000,1397.7962,2219.937,937.703,2219.937,6
2024-08-06 09:20:10.000,1098.9078,1198.243,917.778,1198.243,12
2024-08-06 09:20:00.000,1751.4951,2444.536,1089.782,2444.536,8
2024-08-06 09:19:50.000,1068.0453,1152.401,940.253,1152.401,7
2024-08-06 09:19:40.000,2157.142,2157.142,2157.142,2157.142,1
2024-08-06 09:19:30.000,1336.2749,2204.346,916.007,2204.346,14
2024-08-06 09:19:20.000,2079.8945,2172.278,1856.36,2172.278,4
2024-08-06 09:19:10.000,1624.0695,2374.948,957.965,2374.948,8
