data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete,
Messages,,,,
Full label,eu-north-1:AWS/Lambda FunctionName:awsCrayfish Duration Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish cpu_total_time Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish init_duration Maximum 30,
Label,Duration,cpu_total_time,init_duration,
2024/08/06 20:46:00,2535.15,2360,215,
2024/08/06 20:46:30,,,,
2024/08/06 20:47:00,2210.71,2260,,
2024/08/06 20:47:30,,,,
2024/08/06 20:48:00,2128.13,2160,,
2024/08/06 20:48:30,,,,
2024/08/06 20:49:00,1116.96,1260,,
