data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:LambdaInsights function_name:awsCrayfish init_duration Maximum 1
Label,init_duration
2024/08/08 16:39:00,271
2024/08/08 16:39:01,
2024/08/08 16:39:02,
2024/08/08 16:39:03,
2024/08/08 16:39:04,
2024/08/08 16:39:05,
2024/08/08 16:39:06,
2024/08/08 16:39:07,
2024/08/08 16:39:08,
2024/08/08 16:39:09,
2024/08/08 16:39:10,
2024/08/08 16:39:11,
2024/08/08 16:39:12,
2024/08/08 16:39:13,
2024/08/08 16:39:14,
2024/08/08 16:39:15,
2024/08/08 16:39:16,
2024/08/08 16:39:17,
2024/08/08 16:39:18,
2024/08/08 16:39:19,
2024/08/08 16:39:20,
2024/08/08 16:39:21,
2024/08/08 16:39:22,
2024/08/08 16:39:23,
2024/08/08 16:39:24,
2024/08/08 16:39:25,
2024/08/08 16:39:26,
2024/08/08 16:39:27,
2024/08/08 16:39:28,
2024/08/08 16:39:29,
2024/08/08 16:39:30,
2024/08/08 16:39:31,
2024/08/08 16:39:32,
2024/08/08 16:39:33,
2024/08/08 16:39:34,
2024/08/08 16:39:35,
2024/08/08 16:39:36,
2024/08/08 16:39:37,
2024/08/08 16:39:38,
2024/08/08 16:39:39,
2024/08/08 16:39:40,
2024/08/08 16:39:41,
2024/08/08 16:39:42,
2024/08/08 16:39:43,
2024/08/08 16:39:44,
2024/08/08 16:39:45,
2024/08/08 16:39:46,
2024/08/08 16:39:47,
2024/08/08 16:39:48,
2024/08/08 16:39:49,
2024/08/08 16:39:50,
2024/08/08 16:39:51,
2024/08/08 16:39:52,
2024/08/08 16:39:53,
2024/08/08 16:39:54,
2024/08/08 16:39:55,
2024/08/08 16:39:56,
2024/08/08 16:39:57,
2024/08/08 16:39:58,
2024/08/08 16:39:59,
2024/08/08 16:40:00,226
