@timestamp,requestId,functionArn,executionTime
2024-08-08 18:24:24.955,,,
2024-08-08 18:24:24.969,,,
2024-08-08 18:24:24.996,,,
2024-08-08 18:24:25.044,,,
2024-08-08 18:24:25.046,,,
2024-08-08 18:24:25.173,,,
2024-08-08 18:24:25.175,,,
2024-08-08 18:24:25.179,,,
2024-08-08 18:24:25.181,,,
2024-08-08 18:24:25.183,,,
2024-08-08 18:24:25.183,,,
2024-08-08 18:24:25.186,,,
2024-08-08 18:24:25.187,,,
2024-08-08 18:24:25.209,,,
2024-08-08 18:24:25.211,,,
2024-08-08 18:24:25.215,,,
2024-08-08 18:24:25.215,,,
2024-08-08 18:24:25.234,,,
2024-08-08 18:24:25.236,,,
2024-08-08 18:24:25.243,,,
2024-08-08 18:24:25.243,,,
2024-08-08 18:24:25.260,,,
2024-08-08 18:24:25.262,,,
2024-08-08 18:24:25.275,,,
2024-08-08 18:24:25.275,,,
2024-08-08 18:24:26.058,,,
2024-08-08 18:24:26.058,79a82dee-973c-5c0c-9825-72c198aa94b8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,813.52623ms
2024-08-08 18:24:26.059,,,
2024-08-08 18:24:26.060,,,
2024-08-08 18:24:26.129,,,
2024-08-08 18:24:26.129,be68e7a0-ca14-57c0-927f-b88fc5828fed,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,907.010457ms
2024-08-08 18:24:26.129,,,
2024-08-08 18:24:26.131,,,
2024-08-08 18:24:26.157,,,
2024-08-08 18:24:26.157,564c7b43-7197-599e-8992-246c7e012ad1,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,962.653638ms
2024-08-08 18:24:26.157,,,
2024-08-08 18:24:26.159,,,
2024-08-08 18:24:26.328,,,
2024-08-08 18:24:26.936,,,
2024-08-08 18:24:26.948,,,
2024-08-08 18:24:26.948,6c73b3e0-1984-5fb3-9b38-eccf1612db05,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.76241782s
2024-08-08 18:24:26.949,,,
2024-08-08 18:24:26.998,,,
2024-08-08 18:24:27.006,,,
2024-08-08 18:24:27.006,ff22f4d0-5230-5d39-89b1-abff5da77a16,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.72475951s
2024-08-08 18:24:27.008,,,
2024-08-08 18:24:27.596,,,
2024-08-08 18:24:27.621,,,
2024-08-08 18:24:27.823,,,
2024-08-08 18:24:27.929,,,
2024-08-08 18:24:27.939,,,
2024-08-08 18:24:27.939,dd51b6a7-bf6e-5b10-a1a3-e988b0f423a4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.604527434s
2024-08-08 18:24:27.941,,,
2024-08-08 18:24:28.033,,,
2024-08-08 18:24:28.286,,,
2024-08-08 18:24:28.499,,,
2024-08-08 18:24:28.500,,,
2024-08-08 18:24:28.514,,,
2024-08-08 18:24:28.514,,,
2024-08-08 18:24:28.671,,,
2024-08-08 18:24:28.671,2c8fa5fe-6bc6-5458-804b-fad1645d3c75,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,739.236254ms
2024-08-08 18:24:28.672,,,
2024-08-08 18:24:29.234,,,
2024-08-08 18:24:29.234,28206efe-af50-5ff0-b86d-31d1a0cb5cbf,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.632800789s
2024-08-08 18:24:29.235,,,
2024-08-08 18:24:29.293,,,
2024-08-08 18:24:29.293,6c14b9e9-b46e-5d29-9fba-e6c6bbf5b59d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.666476915s
2024-08-08 18:24:29.295,,,
2024-08-08 18:24:29.515,,,
2024-08-08 18:24:29.515,c15b8733-fdd7-51d1-91c6-d81cf24c8567,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.687379357s
2024-08-08 18:24:29.517,,,
2024-08-08 18:24:29.675,,,
2024-08-08 18:24:29.675,908f49f6-318b-5bfb-a402-16d93e102cd4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.636963306s
2024-08-08 18:24:29.676,,,
2024-08-08 18:24:30.241,,,
2024-08-08 18:24:30.249,,,
2024-08-08 18:24:30.249,92bbc42f-e2dd-56c4-944e-9b00ed415e70,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.730909481s
2024-08-08 18:24:30.251,,,
2024-08-08 18:24:43.973,,,
2024-08-08 18:24:43.993,,,
2024-08-08 18:24:43.994,,,
2024-08-08 18:24:44.006,,,
2024-08-08 18:24:44.014,,,
2024-08-08 18:24:44.403,,,
2024-08-08 18:24:44.796,,,
2024-08-08 18:24:44.796,7d9f61d9-aa00-5a1c-9d43-3ef6a59e3231,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,800.436808ms
2024-08-08 18:24:44.797,,,
2024-08-08 18:24:44.857,,,
2024-08-08 18:24:45.563,,,
2024-08-08 18:24:45.563,50d736c0-53d2-5310-ab62-69ef5c4f6ba4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.581033123s
2024-08-08 18:24:45.565,,,
2024-08-08 18:24:45.601,,,
2024-08-08 18:24:45.601,6e4832af-ef23-5fda-bf1a-6d80e0bedc95,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.589844978s
2024-08-08 18:24:45.602,,,
2024-08-08 18:24:45.623,,,
2024-08-08 18:24:45.623,427d8f7c-ffc4-5b77-9e1f-d053f05a2fc1,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.605601622s
2024-08-08 18:24:45.624,,,
2024-08-08 18:24:45.627,,,
2024-08-08 18:24:45.627,94d6ae3a-5643-5853-94a5-f11559ddef7c,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.627918815s
2024-08-08 18:24:45.628,,,
2024-08-08 18:24:45.856,,,
2024-08-08 18:24:45.856,2dc79747-3382-5912-8248-c8683c2e41a6,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.446909085s
2024-08-08 18:24:45.858,,,
2024-08-08 18:24:45.948,,,
2024-08-08 18:24:46.391,,,
2024-08-08 18:24:46.402,,,
2024-08-08 18:24:46.440,,,
2024-08-08 18:24:46.440,a2824ba9-0ad5-532a-9d3e-148605792b07,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.580512878s
2024-08-08 18:24:46.441,,,
2024-08-08 18:24:46.545,,,
2024-08-08 18:24:46.718,,,
2024-08-08 18:24:47.211,,,
2024-08-08 18:24:47.211,1f3e8b1d-7965-50c1-b61f-d43276cb9477,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,818.244551ms
2024-08-08 18:24:47.212,,,
2024-08-08 18:24:47.318,,,
2024-08-08 18:24:47.318,7883aaa7-5795-5c35-958f-f588583b6b1a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,771.088303ms
2024-08-08 18:24:47.319,,,
2024-08-08 18:24:47.359,,,
2024-08-08 18:24:47.359,cde6d2f7-3438-57a3-ab5f-8dd83b951f17,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.406269325s
2024-08-08 18:24:47.360,,,
2024-08-08 18:24:47.562,,,
2024-08-08 18:24:47.562,5a962fbe-7704-590b-b0cb-709178aada44,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,840.962474ms
2024-08-08 18:24:47.563,,,
2024-08-08 18:24:48.007,,,
2024-08-08 18:24:48.007,378810c5-6e93-5d44-ac97-4fea613d65f0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.601266444s
2024-08-08 18:24:48.008,,,
2024-08-08 18:25:00.949,,,
2024-08-08 18:25:01.090,,,
2024-08-08 18:25:01.124,,,
2024-08-08 18:25:01.161,,,
2024-08-08 18:25:01.199,,,
2024-08-08 18:25:01.557,,,
2024-08-08 18:25:01.757,,,
2024-08-08 18:25:01.757,7eb04b3f-b798-5002-bd8d-1410b82874b4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,805.671312ms
2024-08-08 18:25:01.758,,,
2024-08-08 18:25:01.843,,,
2024-08-08 18:25:01.871,,,
2024-08-08 18:25:01.871,334b0f15-343a-5b25-8015-503a3b958308,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,744.436094ms
2024-08-08 18:25:01.872,,,
2024-08-08 18:25:01.896,,,
2024-08-08 18:25:01.896,1ca2ad4e-0fcb-5626-b76b-f26100641109,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,804.150611ms
2024-08-08 18:25:01.897,,,
2024-08-08 18:25:01.980,,,
2024-08-08 18:25:02.284,,,
2024-08-08 18:25:02.636,,,
2024-08-08 18:25:02.780,,,
2024-08-08 18:25:02.780,3f0a256e-fd96-5461-b250-7a41f22b7c4c,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,796.830287ms
2024-08-08 18:25:02.780,,,
2024-08-08 18:25:02.826,,,
2024-08-08 18:25:02.826,b27b3ee5-4ef5-5e79-a6b3-61ca415a66cd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.661012779s
2024-08-08 18:25:02.827,,,
