data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete,
Messages,,,,
Full label,eu-north-1:AWS/Lambda FunctionName:awsCrayfish Duration Average 30,eu-north-1:LambdaInsights function_name:awsCrayfish cpu_total_time Average 30,eu-north-1:LambdaInsights function_name:awsCrayfish init_duration Average 30,
Label,Duration,cpu_total_time,init_duration,
2024/08/04 16:44:00,2063.3195996,2018.8,217,
2024/08/04 16:44:30,,,,
2024/08/04 16:45:00,1692.9318602325582,1713.0232558139535,,
2024/08/04 16:45:30,,,,
2024/08/04 16:46:00,1425.6409800000006,1443.5294117647059,,
2024/08/04 16:46:30,,,,
2024/08/04 16:47:00,1347.7124994444446,1375.5555555555557,,
