data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,eu-north-1:AWS/Lambda FunctionName:awsCrayfish Duration Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish cpu_total_time Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish init_duration Maximum 30
Label,Duration,cpu_total_time,init_duration
2024/08/04 16:44:00,2790.75,2620,225
2024/08/04 16:44:30,,,
2024/08/04 16:45:00,2531.38,2560,
2024/08/04 16:45:30,,,
2024/08/04 16:46:00,2477.88,2510,
2024/08/04 16:46:30,,,
2024/08/04 16:47:00,2459.22,2470,
