data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,eu-north-1:AWS/Lambda FunctionName:awsCrayfish Duration Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish cpu_total_time Maximum 30,eu-north-1:LambdaInsights function_name:awsCrayfish init_duration Maximum 30
Label,Duration,cpu_total_time,init_duration
2024/08/05 16:30:00,2537.41,2540,219
2024/08/05 16:30:30,,,
2024/08/05 16:31:00,2514.28,2590,212
2024/08/05 16:31:30,,,
2024/08/05 16:32:00,2483.28,2530,
2024/08/05 16:32:30,,,
2024/08/05 16:33:00,2507.1,2720,
