@timestamp,requestId,functionArn,executionTime
2024-08-05 13:31:48.687,,,
2024-08-05 13:31:48.687,f5e8c454-ab70-5db1-90d6-9b7e7d06f704,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.053104373s
2024-08-05 13:31:48.688,,,
2024-08-05 13:31:48.715,,,
2024-08-05 13:31:48.807,,,
2024-08-05 13:31:48.867,,,
2024-08-05 13:31:48.867,bd6ca455-4281-57c5-9c0e-fb7f94f96737,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.036191205s
2024-08-05 13:31:48.868,,,
2024-08-05 13:31:48.892,,,
2024-08-05 13:31:48.937,,,
2024-08-05 13:31:48.937,38c8020b-03f1-51b4-b807-5d21d587c98c,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.223731531s
2024-08-05 13:31:48.938,,,
2024-08-05 13:31:48.964,,,
2024-08-05 13:31:48.990,,,
2024-08-05 13:31:48.993,,,
2024-08-05 13:31:49.003,,,
2024-08-05 13:31:49.004,,,
2024-08-05 13:31:49.117,,,
2024-08-05 13:31:49.117,26fc0a6c-2c29-5720-8f7d-5546fa500354,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.227001599s
2024-08-05 13:31:49.118,,,
2024-08-05 13:31:49.175,,,
2024-08-05 13:31:49.175,ccd9c6f5-06b6-503e-b87b-99dfd0c1ac91,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.2256499s
2024-08-05 13:31:49.176,,,
2024-08-05 13:31:49.260,,,
2024-08-05 13:31:49.919,,,
2024-08-05 13:31:50.183,,,
2024-08-05 13:31:50.183,5d489f2b-4b26-549f-a707-c0019d5e90d2,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.217081741s
2024-08-05 13:31:50.184,,,
2024-08-05 13:31:50.191,,,
2024-08-05 13:31:50.333,,,
2024-08-05 13:31:50.333,555bd46e-747e-5b54-88a7-8b44a2099981,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.388921733s
2024-08-05 13:31:50.335,,,
2024-08-05 13:31:50.381,,,
2024-08-05 13:31:50.381,ab1aaa38-ce2f-53bb-8304-f512185938ca,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.482294593s
2024-08-05 13:31:50.382,,,
2024-08-05 13:31:50.402,,,
2024-08-05 13:31:50.403,,,
2024-08-05 13:31:50.407,,,
2024-08-05 13:31:50.407,,,
2024-08-05 13:31:50.474,,,
2024-08-05 13:31:50.474,54a4b69f-5f5d-5b5f-9712-e9b589d8af12,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.212873654s
2024-08-05 13:31:50.476,,,
2024-08-05 13:31:50.853,,,
2024-08-05 13:31:50.853,1cb66f7d-37c0-5d07-975a-3057e1441676,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.132595269s
2024-08-05 13:31:50.854,,,
2024-08-05 13:31:51.033,,,
2024-08-05 13:31:51.033,8a801ebc-6ae0-50bb-a11b-4196bc987ee2,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.136506094s
2024-08-05 13:31:51.034,,,
2024-08-05 13:31:51.152,,,
2024-08-05 13:31:51.162,,,
2024-08-05 13:31:51.162,9e49618d-af00-5fce-bf38-3ea77984c821,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.157753094s
2024-08-05 13:31:51.164,,,
2024-08-05 13:31:51.772,,,
2024-08-05 13:31:51.772,2b529b45-ed79-5b4e-bf78-c46f3bfce1fb,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.363847489s
2024-08-05 13:31:51.772,,,
2024-08-05 13:31:51.775,,,
2024-08-05 13:31:52.432,,,
2024-08-05 13:31:52.432,2498fe44-73c6-5f32-8e46-a16ea54358dd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.504881448s
2024-08-05 13:31:52.434,,,
2024-08-05 13:32:15.004,,,
2024-08-05 13:32:15.029,,,
2024-08-05 13:32:15.272,,,
2024-08-05 13:32:15.388,,,
2024-08-05 13:32:15.473,,,
2024-08-05 13:32:16.264,,,
2024-08-05 13:32:16.264,355ea078-d882-529d-93be-ff520e1cfaa5,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.257180096s
2024-08-05 13:32:16.265,,,
2024-08-05 13:32:16.282,,,
2024-08-05 13:32:16.297,,,
2024-08-05 13:32:16.297,746a65f8-319b-56c9-8990-3ad2e7074db8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.266486362s
2024-08-05 13:32:16.298,,,
2024-08-05 13:32:16.338,,,
2024-08-05 13:32:16.338,0ee6191b-f33a-5d85-a9a0-463125a49d77,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.063727274s
2024-08-05 13:32:16.339,,,
2024-08-05 13:32:16.372,,,
2024-08-05 13:32:16.461,,,
2024-08-05 13:32:16.461,a5ea5411-a69b-500a-8035-0b3b7006dabf,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.071465791s
2024-08-05 13:32:16.463,,,
2024-08-05 13:32:16.568,,,
2024-08-05 13:32:16.568,e665383c-a8ec-530a-91e6-67167e71f4e5,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.093492432s
2024-08-05 13:32:16.569,,,
2024-08-05 13:32:16.680,,,
2024-08-05 13:32:16.763,,,
2024-08-05 13:32:17.511,,,
2024-08-05 13:32:17.511,1820f5f6-1cdd-550e-ba1a-aadcca47f17a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.227076793s
2024-08-05 13:32:17.512,,,
2024-08-05 13:32:17.528,,,
2024-08-05 13:32:17.732,,,
2024-08-05 13:32:17.732,1d93a6c7-449b-5171-8083-f9ed923bebc4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.050002325s
2024-08-05 13:32:17.733,,,
2024-08-05 13:32:17.802,,,
2024-08-05 13:32:18.454,,,
2024-08-05 13:32:18.454,32f4af15-a7b8-5aba-8067-f03f712354e3,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.077082064s
2024-08-05 13:32:18.456,,,
2024-08-05 13:32:18.485,,,
2024-08-05 13:32:18.839,,,
2024-08-05 13:32:18.839,f4a3be09-7545-59ab-b5f0-e123a3e56e44,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.071501637s
2024-08-05 13:32:18.840,,,
2024-08-05 13:32:19.979,,,
2024-08-05 13:32:19.979,414f8e31-9f7a-5533-9da7-d11b49e1e17e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.447297361s
2024-08-05 13:32:19.980,,,
2024-08-05 13:32:19.982,,,
2024-08-05 13:32:19.982,5a9b3515-b4e2-50f1-9aa7-6a3f62438b80,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.175958751s
2024-08-05 13:32:19.983,,,
2024-08-05 13:32:20.015,,,
2024-08-05 13:32:20.615,,,
2024-08-05 13:32:20.615,8e80bba3-af97-5f75-8aab-e489790bada0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.126219863s
2024-08-05 13:32:20.616,,,
2024-08-05 13:32:21.108,,,
2024-08-05 13:32:21.108,f909f44f-24b3-5b2f-bd2b-ab65f23fd163,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.090171329s
2024-08-05 13:32:21.109,,,
2024-08-05 13:32:21.154,,,
2024-08-05 13:32:23.270,,,
2024-08-05 13:32:23.270,260a939a-39d4-59af-8d53-ccb0ef58e2fe,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.11052442s
2024-08-05 13:32:23.271,,,
2024-08-05 13:32:35.917,,,
2024-08-05 13:32:36.051,,,
2024-08-05 13:32:36.109,,,
2024-08-05 13:32:36.201,,,
2024-08-05 13:32:36.282,,,
2024-08-05 13:32:36.989,,,
2024-08-05 13:32:36.989,95f1d19b-9681-5cf3-82a3-8eb1402db4cb,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.069385743s
2024-08-05 13:32:36.990,,,
2024-08-05 13:32:37.014,,,
2024-08-05 13:32:37.146,,,
